,id,year,population
0,1,1960,3028654024
1,2,1961,3068356747
2,3,1962,3121963107
3,4,1963,3187471383
4,5,1964,3253112403
5,6,1965,3320396924
6,7,1966,3390712300
7,8,1967,3460521851
8,9,1968,3531547287
9,10,1969,3606994959
10,11,1970,3682870688
11,12,1971,3761750672
12,13,1972,3839147707
13,14,1973,3915742695
14,15,1974,3992806090
15,16,1975,4068032705
16,17,1976,4141383058
17,18,1977,4214499013
18,19,1978,4288485981
19,20,1979,4363754326
20,21,1980,4439638086
21,22,1981,4516734312
22,23,1982,4595890494
23,24,1983,4675178812
24,25,1984,4753877875
25,26,1985,4834206631
26,27,1986,4918126890
27,28,1987,5004006066
28,29,1988,5090899475
29,30,1989,5178059174
30,31,1990,5266783430
31,32,1991,5351836347
32,33,1992,5433823608
33,34,1993,5516863641
34,35,1994,5598658151
35,36,1995,5681689325
36,37,1996,5762235749
37,38,1997,5842585301
38,39,1998,5921799957
39,40,1999,6001269553
40,41,2000,6078274622
41,42,2001,6155652495
42,43,2002,6232413711
43,44,2003,6309266583
44,45,2004,6385778679
45,46,2005,6462054420
46,47,2006,6538196688
47,48,2007,6614396907
48,49,2008,6692030277
49,50,2009,6775235741
